,Acronym,Meaning
5177,wdywta,what do you wanna talk about
5178,wdywtd,what do you want to do
5179,wdywtdt,Why Do You Want To Do That?
5180,wdywtta,what do you want to talk about
5181,webby,webcam
5182,weg,wicked evil grin
5183,welc,welcome
5184,wen,when
5185,werkz,works
5186,wev,Whatever
5187,weve,what ever
5188,wevr,whatever
5189,wfh,Working From Home
5190,wfhw,what's for homework
5191,wfm,Works For Me
5192,wfyb,whatever floats your boat
5193,wg,wicked gril
5194,wgac,who gives a crap
5195,wgaf,Who gives a f**k
5196,wgas,who gives a s**t
5197,wgasa,who gives a s**t anyway
5198,wgo,what's going on
5199,wgph2,Want to go play Halo 2?
5200,wha,what?
5201,whaddya,what do you
5202,whaletail,thong
5203,whatcha,what are you
5204,whatev,whatever
5205,whatevs,whatever
5206,whats ^,whats up
5207,what^,what's up?
5208,whenevs,whenever
5209,whevah,where ever
5210,whever,whatever
5211,whf,Wanna have fun?
5212,whit,with
5213,whodi,friend
5214,whr,where
5215,whs,wanna have sex
5216,wht,What
5217,whteva,what ever
5218,whteve,whatever
5219,whtever,whatever
5220,whtevr,whatever
5221,whtvr,whatever
5222,wht^,what up
5223,whubu2,what have you been up to
5224,whubut,what have you been up to
5225,whut,what
5226,whyb,where have you been
5227,whyd,What Have You Done
5228,wid,with
5229,widout,without
5230,wieu2,What Is Everyone Up To
5231,wif,With
5232,wiid,what if i did
5233,wilco,will comply
5234,winnar,winner
5235,wio,without
5236,wip,Work In progress
5237,wit,with
5238,witcha,with you
5239,witfp,What is the f**king point
5240,witu,with you
5241,witw,what in the world
5242,witwct,What is the world coming too
5243,witwu,who is there with you
5244,witwwyt,what in the world were you thinking
5245,wiu,What is up?
5246,wiuwu,what is up with you
5247,wiv,with
5248,wiw,wife is watching
5249,wiwhu,wish I was holding you
5250,wiwt,wish i was there 
5251,wiyp,what is your problem
5252,wjwd,What Jesus Would Do
5253,wk,week
5254,wkd,wicked
5255,wkend,weekend
5256,wl,will
5257,wlc,welcome
5258,wlcb,welcome back
5259,wlcm,welcome
5260,wld,would
5261,wlkd,walked
5262,wlos,wife looking over Shoulder
5263,wltm,would like to meet
5264,wmao,working my ass off
5265,wmd,Weapons Of Mass Destruction
5266,wmgl,wish me good luck
5267,wml,Wish Me Luck
5268,wmts,we must talk soon
5269,wmyb,What Makes You Beautiful
5270,wmytic,What makes you think I care
5271,wn,when
5272,wna,want to
5273,wnkr,wanker
5274,wnrn,why not right now
5275,wnt,want
5276,wntd,what not to do
5277,woa,word of advice
5278,woc,welcome on cam
5279,wochit,watch it
5280,woe,what on earth
5281,woft,Waste of f**king time
5282,wogge,what on god's green earth?
5283,wogs,waste of good sperm
5284,wolo,we only live once
5285,wom,word of mouth
5286,wombat,"waste of money, brains, and time"
5287,woot,woohoo
5288,wos,Waste of space
5289,wot,what
5290,wotevs,whatever
5291,wotv,What's on Television?
5292,wotw,word of the week
5293,woum,what's on your mind
5294,wowzers,wow
5295,woz,was
5296,wp,wrong person
5297,wpe,worst president ever (Bush)
5298,wrd,word
5299,wrdo,weirdo
5300,wrgad,who really gives a damn
5301,wrgaf,Who really gives a f**k?
5302,wrk,work
5303,wrm,which reminds me
5304,wrng,wrong
5305,wrt,with regard to
5306,wrtg,writing
5307,wrthls,Worthless
5308,wru,where are you
5309,wrud,what are you doing
5310,wruf,where are you from
5311,wruu2,what are you up to
5312,wryd,what are you doing
5313,wsb,wanna cyber?
5314,wsf,we should f**k
5315,wshtf,when s**t hits the fan
5316,wsi,why should I
5317,wsibt,when should i be there
5318,wsidi,Why Should I Do It
5319,wsop,world series of poker
5320,wswta,What shall we talk about?
5321,wtaf,What the actual f**k
5322,wtb,Want to buy
5323,wtbd,what's the big deal
5324,wtbh,What the bloody hell
5325,wtc,what the crap
5326,wtcf,what the crazy f**k
5327,wtd,what the deuce
5328,wtf,what the f**k
5329,wtfaud,what the f**k are you doing?
5330,wtfay,who the f**k are you
5331,wtfayd,what the f**k are you doing
5332,wtfayt,why the f**k are you talking
5333,wtfayta,What the f**k are you talking about?
5334,wtfb,what the f**k b***h
5335,wtfbs,What the f**k bull s**t
5336,wtfc,Who The f**k Cares
5337,wtfdik,what the f**k do i know
5338,wtfdtm,What the f**k does that mean 
5339,wtfdum,what the f**k do you mean
5340,wtfduw,What the f**k do you want?
5341,wtfdyw,what the f**k do you want
5342,wtfe,What The f**k Ever
5343,wtfever,what the f**k ever
5344,wtfg,What the f**king god
5345,wtfh,what the f**king hell
5346,wtfhb,what the f**king hell b***h
5347,wtfhwt,what the f**king hell was that
5348,wtfigo,what the f**k is going on
5349,wtfigoh,what the f**k is going on here
5350,wtfit,what the f**k is that
5351,wtfits,what the f**k is this s**t
5352,wtfiu,what the f**k is up
5353,wtfiup,what the f**k is your problem
5354,wtfiuwy,what the f**k is up with you
5355,wtfiwwu,what the f**k is wrong with you
5356,wtfiwwy,what the f**k is wrong with you
5357,wtfiyp,what the f**k is your problem
5358,wtfm,"what the f**k, mate?"
5359,wtfmf,what the f**k mother f**ker
5360,wtfo,what the f**k over
5361,wtfru,what the f**k are you
5362,wtfrud,What the f**k are you doing?
5363,wtfrudng,what the f**k are you doing
5364,wtfrudoin,what the f**k are you doing
5365,wtfruo,what the f**k are you on?
5366,wtfruttd,what the f**k are you trying to do
5367,wtfs,what the f**king s**t?
5368,wtfuah,what the f**k you a**h**e
5369,wtful,What the f**k you loser
5370,wtfwjd,what the f**k would jesus do
5371,wtfwt,what the f**k was that
5372,wtfwtd,what the f**k was that dude
5373,wtfwtf,what the f**k was that for?
5374,Wtfwydt,Why the f**k would you do that
5375,wtfya,what the f**k you a**h**e
5376,wtfyb,what the f**k you b***h
5377,wtg,way to go
5378,wtgds,way to go dumb s**t
5379,wtgp,Want to go Private
5380,wth,what the heck
5381,wtharud,what the heck are you doing
5382,wthau,who the hell are you
5383,wthauwf,what the hell are you waiting for
5384,wthay,who the hell are you
5385,wthayd,what the heck are you doing
5386,wthaydwmgf,what the hell are you doing with my girlfriend
5387,wthdydt,why the hell did you do that
5388,wthhyb,where the hell have you been?
5389,wthigo,what the hell is going on
5390,wthiwwu,What the hell is wrong with you
5391,wtho,want to hang out?
5392,wthru,Who the heck are you
5393,wthrud,what the hell are you doing?
5394,wths,want to have sex
5395,wthswm,want to have sex with me
5396,wthwt,what the hell was that?
5397,wthwut,what the hell were you thinking
5398,wthyi,what the hell you idiot
5399,wtii,what time is it
5400,wtiiot,What time is it over there?
5401,wtiiwua,what time is it where you are
5402,wtityb,"whatever, tell it to your blog"
5403,wtly,Welcome to last year
5404,wtmf,what the mother f**k
5405,wtmfh,what the mother f**king hell
5406,wtmi,way too much information
5407,wtmtr,what's the matter
5408,wtp,where's the party
5409,wtrud,what are you doing
5410,wts,want to sell
5411,wtt,want to trade
5412,wttp,want to trade pictures?
5413,wtv,Whatever
5414,wtva,whatever
5415,wtvr,whatever
5416,wtwm,what time are we meeting?
5417,wtwr,well that was random
5418,wu,what's up
5419,wu,what's up?
5420,wu2kilu,want you to know I love you
5421,wub,love
5422,wubmgf,Will You Be My Girlfriend?
5423,wubu2,what you been up to
5424,wubut,what you been up too
5425,WUCIWUG,what you see is what you get
5426,wud,would
5427,wudev,Whatever
5428,wudn,what you doing now
5429,wufa,where you from again
5430,wugowm,will you go out with me
5431,wula,what you looking at?
5432,wuld,would
5433,wuny,wait until next year
5434,wussup,What is up?
5435,wut,what
5436,wutb,What are you talking about
5437,wutcha,What are you
5438,wuteva,whatever
5439,wutevr,what ever
5440,wuts,what is
5441,wutup,What's Up
5442,wuu2,what you up too
5443,wuu2,what you up to
5444,wuu22m,what you up to tomorrow
5445,wuut,what you up to
5446,wuv,love
5447,wuwh,Wish you were here
5448,wuwt,what's up with that
5449,wuwta,what do you want to talk about
5450,wuwtab,what do you want to talk about
5451,wuwtb,what do you want to talk about
5452,wuwtta,what you want to talk about
5453,wuwttb,What you want to talk about 
5454,wuwu,what up with you
5455,wuz,was
5456,wuza,what's up
5457,wuzup,what's up
5458,WW2,World War 2
5459,wwc,who would care
5460,wwcnd,What would Chuck Norris do
5461,wwdhd,What would David Hasselhoff do
5462,wwe,World Wrestling Entertainment
5463,wwgf,when we gonna f**k
5464,wwhw,when where how why
5465,wwikt,why would i know that
5466,wwjd,what would jesus do?
5467,wwt,what was that
5468,wwtf,what was that for
5469,wwudtm,what would you do to me
5470,wwut,what were you thinking
5471,www,world wide web
5472,wwwu,whats wrong with you
5473,wwwy,what's wrong with you
5474,wwy,where were you
5475,wwycm,when will you call me
5476,wwyd,what would you do?
5477,wwyd2m,what would you do to me
5478,wwygac,write when you get a chance
5479,wwyt,What were you thinking
5480,wy,Why?
5481,wyas,wow you are stupid
5482,wyatb,wish you all the best
5483,wyauimg,Why you all up in my grill?
5484,wyb,Watch your back
5485,wybts,were you born this sexy
5486,wyc,will you come
5487,wycm,Will You Call Me
5488,wyd,what are you doing
5489,Wydt,What you doing there
5490,wyg,will you go
5491,wygac,when you get a chance
5492,wygam,When you get a minute
5493,wygowm,Will you go out with me
5494,wygwm,will you go with me
5495,wyhi,Would You Hit It?
5496,wyhswm,would you have sex with me
5497,wylion,whether you like it or not
5498,wyltk,wouldn't you like to know
5499,wylym,Watch Your Language Young Man
5500,wym,What You Mean?
5501,wyn,What's your name
5502,wyp,what's your problem?
5503,wypsu,will you please shut up
5504,wys,wow you're stupid
5505,wysiayg,what you see is all you get
5506,wysitwirl,what you see is totally worthless in real life
5507,wysiwyg,what you see is what you get
5508,Wyut,What you up to
5509,wyw,What You Want
5510,wywh,wish you were here
5511,wywo,while you were out
5512,w\e,whatever
5513,txtms,text me soon
5514,x treme,extreme
5515,xb36t,Xbox 360
5516,xbf,ex-boyfriend
5517,xbl,xbox live
5518,xcept,except
5519,xcpt,except
5520,xd,extreme droll
5521,xellent,excellent
5522,xfer,transfer
5523,xgf,exgirlfriend
5524,xing,crossing
5525,xit,Exit
5526,xl,extra large
5527,xlnt,Excellent
5528,xmas,christmas
5529,xmpl,example
5530,xoac,Christ on a crutch
5531,xor,hacker
5532,xover,crossover
5533,xox,hugs and kisses
5534,xoxo,hugs and kisses
5535,xp,experience
5536,xpect,expect
5537,xplaned,explained
5538,xpt,except
5539,xroads,crossroads
5540,xs,excess
5541,xtc,ecstasy
5542,xtra,extra
5543,xtreme,extreme
5544,xyz,examine your zipper
5545,xyzpdq,Examine Your Zipper Pretty Darn Quick
5546,aygs,are you going somewhere
5547,AYOR,At Your Own Risk
5548,LYMYWY,"Love You, Miss You, Want You"
5549,syn,See you never
5550,Wygf,What You Going For
5551,y,why
5552,y w,you're welcome
5553,y!a,yahoo answers
5554,y'all,you all
5555,y/n,yes or no
5556,y/o,Years Old
5557,y00,you
5558,y2b,Youtube
5559,y2k,year 2000
5560,ya,yeah
5561,yaab,You are a b***h 
5562,yaaf,you are a f**
5563,yaafm,You Are A f**king Moron
5564,yaagf,you are a good friend
5565,yaai,You are an idiot
5566,yaf,you're a f**
5567,yafi,you're a f**king idiot
5568,yag,you are gay
5569,yall,you all
5570,yapa,yet another pointless acronym
5571,yaqw,You are quite welcome
5572,yarly,yeah really
5573,yas,you are stupid
5574,yasan,You are such a nerd
5575,yasf,you are so funny
5576,yasfg,you are so f**king gay
5577,yasg,you are so gay
5578,yasw,you are so weird
5579,yatb,you are the best
5580,yatwl,you are the weakest link
5581,yaw,you are welcome
5582,yayo,cocaine
5583,ybbg,Your Brother By Grace
5584,ybs,you'll be sorry
5585,ybya,you bet your ass
5586,ycliu,You could look it up
5587,ycmtsu,You Can't Make This s**t Up
5588,ycntu,Why Cant You?
5589,yctwuw,you can think what you want
5590,ydpos,you dumb piece of s**t
5591,ydtm,You're dead to me
5592,ydufc,Why do f**king care?
5593,yduwtk,why do you want to know
5594,ye,yeah
5595,yea,yeah
5596,yeh,yes
5597,yer,you're
5598,yermom,your mother
5599,yesh,yes
5600,yew,you
5601,yfb,you f**king b*****d
5602,yfg,you're f**king gay
5603,yfi,you f**king idiot
5604,ygg,you go girl
5605,ygm,You Got Mail
5606,ygp,you got punked!
5607,ygpm,you've got a private message
5608,ygrr,you got rick rolled
5609,ygtbfkm,you've got to be f**king kidding me
5610,ygtbk,you've got to be kidding
5611,ygtbkm,you got to be kidding me
5612,ygtbsm,You've got to be shitting me
5613,ygtsr,you got that s**t right
5614,yh,yeah
5615,yhbt,you've been trolled
5616,yhew,you
5617,yhf,you have failed
5618,yhgtbsm,You Have Got To Be Shitting Me
5619,yhl,you have lost
5620,yhm,You have mail
5621,yhni,you have no idea
5622,yhpm,you have a private messge
5623,yhtbt,You Had To Be There
5624,yid,"yes, I do"
5625,yim,yahoo instant messenger
5626,yiwtgo,"Yes, I want to go private"
5627,yk,you kidding
5628,yki,You know it
5629,ykisa,Your knight in shining armor
5630,ykm,You're killing me
5631,ykn,you know nothing
5632,yktd,you know the drill
5633,ykw,You Know What
5634,ykwim,you know what I mean
5635,ykwya,you know who you are
5636,ykywywm,you know you wish you were me
5637,ylb,you little b***h
5638,ym,your mom
5639,ymbg,you must be guessing
5640,ymbkm,you must be kidding me
5641,yme,why me
5642,ymfp,Your Most Favorite Person
5643,ymg2c,your mom goes to college
5644,ymgtc,Your Mom Goes To college
5645,ymiaw,your mom is a w***e
5646,ymislidi,you make it sound like i did it
5647,ymmd,You Made My Day
5648,ymmv,your mileage may vary
5649,ymrasu,"Yes, My Retarded Ass Signed Up"
5650,yn,why not
5651,yng,young
5652,ynk,you never know
5653,ynm,"yes, no, maybe"
5654,ynt,why not
5655,ynw,you know what
5656,yo,year old
5657,yo',your
5658,yodo,you only die once
5659,yolo,you only live once
5660,yolt,you only live twice
5661,yomank,you owe me a new keyboard
5662,yooh,you
5663,yor,your
5664,youngin,young person
5665,yoy,why oh why
5666,ypmf,you pissed me off
5667,ypmo,you piss me off
5668,ypom,your place or mine
5669,yqw,you're quite welcome
5670,yr,year
5671,yrbk,Yearbook
5672,yrms,You Rock My Socks
5673,yrs,years
5674,yrsaf,You Are Such A Fool 
5675,yrsm,you really scare me
5676,yrss,you are so sexy
5677,yru,why are you?
5678,yrubm,why are you bugging me?
5679,yrusm,Why are you so mean
5680,ys,you suck
5681,ysa,You Suck Ass
5682,ysal,you suck at life
5683,ysati,you suck at the internet
5684,ysf,you stupid f**k
5685,ysic,why should I care
5686,ysitm,your shirt is too small
5687,ysk,you should know
5688,ysm,you scare me
5689,ysoab,You son of a b***h
5690,yss,you stupid s**t
5691,Ystrdy,Yesterday
5692,yswnt,why sleep when not tired?
5693,yt,You there?
5694,ytd,year to date
5695,ytf,why the f**k
5696,ytfwudt,why the f**k would you do that?
5697,ythwudt,Why the hell would you do that
5698,ytis,You think I'm special?
5699,ytm,you tell me
5700,ytmnd,"You're the man now, dog!"
5701,yty,why thank you
5702,yu,You
5703,yua,you ugly ass
5704,yuo,you
5705,yup,yes
5706,yur,your
5707,yust,why you say that
5708,yvfw,you're very f**king welcome
5709,yvw,you're very welcome
5710,yw,you're welcome
5711,ywapom,you want a piece of me?
5712,ywia,You're welcome in advance
5713,ywic,why would i care
5714,yws,you want sex
5715,ywsyls,you win some you lose some
5716,ywud,yo whats up dude
5717,ywvm,you're welcome very much
5718,ywywm,you wish you were me
5719,yysw,"yeah, yeah, sure, whatever"
5720,z'omg,Oh my God
5721,z0mg,oh my god
5722,zex,sex
5723,zh,Zero Hour
5724,zig,cigarette
5725,zomfg,oh my f**king god
5726,zomg,Oh my God
5727,zomgzorrz,oh my god
5728,zoot,woohoo
5729,zot,Zero Tolerance
5730,zt,zoo tycoon
5731,zup,what's up?
